2021-05-13 11:07:18,512 - udpserver - INFO: Start udpserver, [name]:UDP Server-1, [port]: 8000
2021-05-13 11:07:18,515 - udpserver - INFO: Start udpserver, [name]:UDP Server-2, [port]: 8001
2021-05-13 11:07:18,517 - udpserver - INFO: Start udpserver, [name]:UDP Server-3, [port]: 8002
2021-05-13 11:12:30,227 - udpserver - INFO: Start udpserver, [name]:UDP Server-1, [port]: 8000
2021-05-13 11:12:30,229 - udpserver - INFO: Start udpserver, [name]:UDP Server-2, [port]: 8001
2021-05-13 11:12:30,232 - udpserver - INFO: Start udpserver, [name]:UDP Server-3, [port]: 8002
2021-05-13 12:07:32,703 - udpserver - INFO: Start udpserver, [name]:UDP Server-1, [port]: 8000
2021-05-13 12:07:32,705 - udpserver - INFO: Start udpserver, [name]:UDP Server-2, [port]: 8001
2021-05-13 12:07:32,708 - udpserver - INFO: Start udpserver, [name]:UDP Server-3, [port]: 8002
2021-05-13 12:16:15,211 - udpserver - INFO: Start udpserver, [name]:UDP Server-1, [port]: 8000
2021-05-13 12:16:15,214 - udpserver - INFO: Start udpserver, [name]:UDP Server-2, [port]: 8001
2021-05-13 12:16:15,217 - udpserver - INFO: Start udpserver, [name]:UDP Server-3, [port]: 8002
2021-05-13 12:18:13,001 - udpserver - INFO: Start udpserver, [name]:UDP Server-1, [port]: 8000
2021-05-13 12:18:13,003 - udpserver - INFO: Start udpserver, [name]:UDP Server-2, [port]: 8001
2021-05-13 12:18:13,005 - udpserver - INFO: Start udpserver, [name]:UDP Server-3, [port]: 8002
2021-05-13 12:19:40,358 - udpserver - INFO: Start udpserver, [name]:UDP Server-1, [port]: 8000
2021-05-13 12:19:40,360 - udpserver - INFO: Start udpserver, [name]:UDP Server-2, [port]: 8001
2021-05-13 12:19:40,362 - udpserver - INFO: Start udpserver, [name]:UDP Server-3, [port]: 8002
2021-05-13 12:23:02,288 - udpserver - INFO: Start udpserver, [name]:UDP Server-1, [port]: 8000
2021-05-13 12:23:02,290 - udpserver - INFO: Start udpserver, [name]:UDP Server-2, [port]: 8001
2021-05-13 12:23:02,292 - udpserver - INFO: Start udpserver, [name]:UDP Server-3, [port]: 8002
2021-05-13 14:41:31,396 - udpserver - INFO: Start udpserver, [name]:UDP Server-1, [port]: 8000
2021-05-13 14:41:31,398 - udpserver - INFO: Start udpserver, [name]:UDP Server-2, [port]: 8001
2021-05-13 14:41:31,400 - udpserver - INFO: Start udpserver, [name]:UDP Server-3, [port]: 8002
2021-05-13 14:44:10,927 - udpserver - INFO: Start udpserver, [name]:UDP Server-1, [port]: 8000
2021-05-13 14:44:10,929 - udpserver - INFO: Start udpserver, [name]:UDP Server-2, [port]: 8001
2021-05-13 14:44:10,932 - udpserver - INFO: Start udpserver, [name]:UDP Server-3, [port]: 8002
2021-05-13 15:23:06,574 - udpserver - INFO: Start udpserver, [name]: UDP Server-1, [port]: 8000
2021-05-13 15:23:06,576 - udpserver - INFO: Start udpserver, [name]: UDP Server-2, [port]: 8001
2021-05-13 15:23:06,579 - udpserver - INFO: Start udpserver, [name]: UDP Server-3, [port]: 8002
2021-05-13 15:23:37,864 - udpserver - INFO: Start udpserver, [name]: UDP Server-1, [port]: 8000
2021-05-13 15:23:37,866 - udpserver - INFO: Start udpserver, [name]: UDP Server-2, [port]: 8001
2021-05-13 15:23:37,867 - udpserver - INFO: Start udpserver, [name]: UDP Server-3, [port]: 8002
2021-05-13 15:46:17,842 - udpserver - INFO: Start udpserver, [name]: udp_server: 8000, [port]: 8000
2021-05-13 16:04:54,427 - udpserver - INFO: Start udpserver, [name]: udp_server: 8000, [port]: 8000
2021-05-13 16:05:41,129 - udpserver - INFO: Start udpserver, [name]: udp_server: 8000, [port]: 8000
2021-05-13 16:30:54,681 - udpserver - INFO: Start udpserver, [name]: udp_server: 8000, [port]: 8000
2021-05-13 16:31:39,074 - udpserver - INFO: Start udpserver, [name]: udp_server: 8000, [port]: 8000
2021-05-13 16:48:27,541 - udpserver - INFO: Start udpserver, [name]: udp_server: 8000, [port]: 8000
2021-05-13 16:52:32,797 - udpserver - INFO: Start udpserver, [name]: udp_server: 8000, [port]: 8000
2021-05-13 16:54:08,809 - udpserver - INFO: Start udpserver, [name]: udp_server: 8000, [port]: 8000
2021-05-13 16:55:23,318 - udpserver - INFO: Start udpserver, [name]: udp_server: 8000, [port]: 8000
2021-05-13 16:56:40,260 - udpserver - INFO: Start udpserver, [name]: udp_server: 8000, [port]: 8000
2021-05-13 16:58:21,226 - udpserver - INFO: Start udpserver, [name]: udp_server: 8000, [port]: 8000
2021-05-13 16:59:03,703 - udpserver - INFO: Start udpserver, [name]: udp_server: 8000, [port]: 8000
